"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 18:16:29 GMT 2023","Wed Nov 01 18:16:31 GMT 2023","1968","tests.api","test_api_reqres","TestApiReqressCrud","","","test_api_crud_regres_in",""
"passed","Wed Nov 01 18:16:32 GMT 2023","Wed Nov 01 18:16:37 GMT 2023","4791","tests.ui","test_ui_awarasleep","TestUIAwarasleep","","","test_ui_awara",""
