"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 18:59:37 GMT 2023","Wed Nov 01 18:59:38 GMT 2023","1850","tests.api","test_api_reqres","TestApiReqressCrud","","","test_api_crud_regres_in",""
"passed","Wed Nov 01 18:59:40 GMT 2023","Wed Nov 01 18:59:44 GMT 2023","4082","tests.ui","test_ui_awarasleep","TestUIAwarasleep","","","test_ui_awara",""
