"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 01 19:05:42 GMT 2023","Wed Nov 01 19:05:45 GMT 2023","3285","tests.ui","test_ui_awarasleep","TestUIAwarasleep","","","test_ui_awara",""
"passed","Wed Nov 01 19:05:39 GMT 2023","Wed Nov 01 19:05:40 GMT 2023","1253","tests.api","test_api_reqres","TestApiReqressCrud","","","test_api_crud_regres_in",""
